id,name,district,lat,lon,category,themes,architectural_style,typical_visit_duration_min,opening_hours_note,ticket_info_note,short_description_en,area_tags,vibe
poi_municipal_house,Municipal House,Stare Mesto,50.0876,14.427,building,"architecture,concerts,food",Art Nouveau,60,Guided tours and cafes have defined hours; evening concerts common.,Paid tours and concert tickets; cafes open to the public.,"Lavish Art Nouveau cultural venue with richly decorated interiors, cafes and a major concert hall.","old_town,indoor_attraction","elegant,cultural"
poi_house_black_madonna,House of the Black Madonna,Stare Mesto,50.0879,14.4279,building,"architecture,design,coffee",Czech Cubism,60,Museum and cafe have standard daytime hours.,Museum ticket required for exhibitions; cafe free entry.,Pioneering Cubist building housing a design museum and a historic Grand Cafe.,"old_town,indoor_attraction","designy,calm"
poi_vysehrad,Vysehrad Fortress,Vysehrad,50.0644,14.4175,fortress,"history,viewpoints,nature","Medieval,Neo-Gothic",120,Park area open; interiors and cemetery have separate hours.,Most outdoor areas free; some sites ticketed.,"Historic hilltop fortress with peaceful park, river views, cemetery and legends older than Prague Castle.","viewpoints,green_space,offbeat","quiet,local"
poi_letna_park,Letna Park,Letna,50.0952,14.4245,park,"viewpoints,nature,beer_gardens",Modernist elements,90,Open 24/7 as a public park.,No ticket required; pay at beer gardens.,Large park with beer gardens and some of the best panoramic views over Prague's bridges.,"viewpoints,green_space","relaxed,social"
poi_national_theatre,National Theatre,Nove Mesto,50.081,14.4137,theatre,"culture,architecture,evening",Neo-Renaissance,150,Evening performances; guided tours on selected days.,Tickets required for performances and some tours.,"Golden-roofed national stage for opera, ballet and drama with richly decorated interiors.","riverfront,cultural_evening","formal,cultural"
poi_extra_1,Extra Prague Place 1,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_2,Extra Prague Place 2,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_3,Extra Prague Place 3,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_4,Extra Prague Place 4,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_5,Extra Prague Place 5,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_6,Extra Prague Place 6,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_7,Extra Prague Place 7,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_8,Extra Prague Place 8,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_9,Extra Prague Place 9,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_10,Extra Prague Place 10,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_11,Extra Prague Place 11,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_12,Extra Prague Place 12,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_13,Extra Prague Place 13,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_14,Extra Prague Place 14,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_15,Extra Prague Place 15,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_16,Extra Prague Place 16,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_17,Extra Prague Place 17,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_18,Extra Prague Place 18,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_19,Extra Prague Place 19,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_20,Extra Prague Place 20,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_21,Extra Prague Place 21,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_22,Extra Prague Place 22,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_23,Extra Prague Place 23,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_24,Extra Prague Place 24,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_25,Extra Prague Place 25,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_26,Extra Prague Place 26,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_27,Extra Prague Place 27,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_28,Extra Prague Place 28,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_29,Extra Prague Place 29,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_30,Extra Prague Place 30,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_31,Extra Prague Place 31,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_32,Extra Prague Place 32,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_33,Extra Prague Place 33,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_34,Extra Prague Place 34,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_35,Extra Prague Place 35,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_36,Extra Prague Place 36,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_37,Extra Prague Place 37,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_38,Extra Prague Place 38,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_39,Extra Prague Place 39,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_40,Extra Prague Place 40,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_41,Extra Prague Place 41,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_42,Extra Prague Place 42,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_43,Extra Prague Place 43,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_44,Extra Prague Place 44,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_45,Extra Prague Place 45,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_46,Extra Prague Place 46,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_47,Extra Prague Place 47,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_48,Extra Prague Place 48,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_49,Extra Prague Place 49,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_50,Extra Prague Place 50,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_51,Extra Prague Place 51,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_52,Extra Prague Place 52,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_53,Extra Prague Place 53,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_54,Extra Prague Place 54,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_55,Extra Prague Place 55,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_56,Extra Prague Place 56,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_57,Extra Prague Place 57,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_58,Extra Prague Place 58,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_59,Extra Prague Place 59,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_60,Extra Prague Place 60,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
