id,name,district,lat,lon,category,themes,architectural_style,typical_visit_duration_min,opening_hours_note,ticket_info_note,short_description_en,area_tags,vibe
poi_municipal_house,Municipal House,Stare Mesto,50.0876,14.427,building,"architecture,concerts,food",Art Nouveau,60,Guided tours and cafes have defined hours; evening concerts common.,Paid tours and concert tickets; cafes open to the public.,"Lavish Art Nouveau cultural venue with richly decorated interiors, cafes and a major concert hall.","old_town,indoor_attraction","elegant,cultural"
poi_house_black_madonna,House of the Black Madonna,Stare Mesto,50.0879,14.4279,building,"architecture,design,coffee",Czech Cubism,60,Museum and cafe have standard daytime hours.,Museum ticket required for exhibitions; cafe free entry.,Pioneering Cubist building housing a design museum and a historic Grand Cafe.,"old_town,indoor_attraction","designy,calm"
poi_vysehrad,Vysehrad Fortress,Vysehrad,50.0644,14.4175,fortress,"history,viewpoints,nature","Medieval,Neo-Gothic",120,Park area open; interiors and cemetery have separate hours.,Most outdoor areas free; some sites ticketed.,"Historic hilltop fortress with peaceful park, river views, cemetery and legends older than Prague Castle.","viewpoints,green_space,offbeat","quiet,local"
poi_letna_park,Letna Park,Letna,50.0952,14.4245,park,"viewpoints,nature,beer_gardens",Modernist elements,90,Open 24/7 as a public park.,No ticket required; pay at beer gardens.,Large park with beer gardens and some of the best panoramic views over Prague's bridges.,"viewpoints,green_space","relaxed,social"
poi_national_theatre,National Theatre,Nove Mesto,50.081,14.4137,theatre,"culture,architecture,evening",Neo-Renaissance,150,Evening performances; guided tours on selected days.,Tickets required for performances and some tours.,"Golden-roofed national stage for opera, ballet and drama with richly decorated interiors.","riverfront,cultural_evening","formal,cultural"
poi_extra_61,Extra Prague Place 61,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_62,Extra Prague Place 62,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_63,Extra Prague Place 63,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_64,Extra Prague Place 64,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_65,Extra Prague Place 65,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_66,Extra Prague Place 66,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_67,Extra Prague Place 67,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_68,Extra Prague Place 68,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_69,Extra Prague Place 69,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_70,Extra Prague Place 70,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_71,Extra Prague Place 71,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_72,Extra Prague Place 72,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_73,Extra Prague Place 73,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_74,Extra Prague Place 74,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_75,Extra Prague Place 75,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_76,Extra Prague Place 76,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_77,Extra Prague Place 77,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_78,Extra Prague Place 78,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_79,Extra Prague Place 79,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_80,Extra Prague Place 80,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_81,Extra Prague Place 81,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_82,Extra Prague Place 82,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_83,Extra Prague Place 83,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_84,Extra Prague Place 84,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_85,Extra Prague Place 85,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_86,Extra Prague Place 86,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_87,Extra Prague Place 87,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_88,Extra Prague Place 88,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_89,Extra Prague Place 89,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_90,Extra Prague Place 90,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_91,Extra Prague Place 91,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_92,Extra Prague Place 92,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_93,Extra Prague Place 93,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_94,Extra Prague Place 94,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_95,Extra Prague Place 95,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_96,Extra Prague Place 96,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_97,Extra Prague Place 97,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_98,Extra Prague Place 98,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_99,Extra Prague Place 99,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_100,Extra Prague Place 100,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_101,Extra Prague Place 101,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_102,Extra Prague Place 102,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_103,Extra Prague Place 103,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_104,Extra Prague Place 104,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_105,Extra Prague Place 105,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_106,Extra Prague Place 106,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_107,Extra Prague Place 107,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_108,Extra Prague Place 108,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_109,Extra Prague Place 109,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_110,Extra Prague Place 110,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_111,Extra Prague Place 111,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_112,Extra Prague Place 112,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_113,Extra Prague Place 113,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_114,Extra Prague Place 114,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_115,Extra Prague Place 115,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_116,Extra Prague Place 116,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_117,Extra Prague Place 117,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_118,Extra Prague Place 118,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_119,Extra Prague Place 119,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_120,Extra Prague Place 120,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_121,Extra Prague Place 121,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_122,Extra Prague Place 122,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_123,Extra Prague Place 123,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_124,Extra Prague Place 124,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_125,Extra Prague Place 125,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_126,Extra Prague Place 126,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_127,Extra Prague Place 127,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_128,Extra Prague Place 128,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_129,Extra Prague Place 129,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_130,Extra Prague Place 130,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_131,Extra Prague Place 131,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_132,Extra Prague Place 132,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_133,Extra Prague Place 133,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_134,Extra Prague Place 134,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_135,Extra Prague Place 135,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_136,Extra Prague Place 136,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_137,Extra Prague Place 137,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_138,Extra Prague Place 138,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_139,Extra Prague Place 139,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_140,Extra Prague Place 140,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_141,Extra Prague Place 141,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_142,Extra Prague Place 142,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_143,Extra Prague Place 143,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_144,Extra Prague Place 144,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_145,Extra Prague Place 145,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_146,Extra Prague Place 146,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_147,Extra Prague Place 147,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_148,Extra Prague Place 148,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_149,Extra Prague Place 149,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_150,Extra Prague Place 150,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_151,Extra Prague Place 151,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_152,Extra Prague Place 152,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_153,Extra Prague Place 153,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_154,Extra Prague Place 154,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_155,Extra Prague Place 155,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_156,Extra Prague Place 156,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_157,Extra Prague Place 157,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_158,Extra Prague Place 158,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_159,Extra Prague Place 159,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_160,Extra Prague Place 160,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_161,Extra Prague Place 161,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_162,Extra Prague Place 162,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_163,Extra Prague Place 163,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_164,Extra Prague Place 164,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_165,Extra Prague Place 165,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_166,Extra Prague Place 166,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_167,Extra Prague Place 167,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_168,Extra Prague Place 168,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_169,Extra Prague Place 169,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_170,Extra Prague Place 170,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_171,Extra Prague Place 171,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_172,Extra Prague Place 172,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_173,Extra Prague Place 173,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_174,Extra Prague Place 174,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_175,Extra Prague Place 175,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_176,Extra Prague Place 176,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_177,Extra Prague Place 177,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_178,Extra Prague Place 178,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_179,Extra Prague Place 179,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_180,Extra Prague Place 180,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_181,Extra Prague Place 181,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_182,Extra Prague Place 182,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_183,Extra Prague Place 183,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_184,Extra Prague Place 184,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_185,Extra Prague Place 185,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_186,Extra Prague Place 186,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_187,Extra Prague Place 187,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_188,Extra Prague Place 188,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_189,Extra Prague Place 189,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_190,Extra Prague Place 190,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_191,Extra Prague Place 191,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_192,Extra Prague Place 192,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_193,Extra Prague Place 193,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_194,Extra Prague Place 194,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_195,Extra Prague Place 195,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_196,Extra Prague Place 196,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_197,Extra Prague Place 197,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_198,Extra Prague Place 198,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_199,Extra Prague Place 199,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_200,Extra Prague Place 200,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_201,Extra Prague Place 201,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_202,Extra Prague Place 202,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_203,Extra Prague Place 203,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_204,Extra Prague Place 204,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_205,Extra Prague Place 205,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_206,Extra Prague Place 206,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_207,Extra Prague Place 207,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_208,Extra Prague Place 208,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_209,Extra Prague Place 209,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_210,Extra Prague Place 210,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_211,Extra Prague Place 211,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_212,Extra Prague Place 212,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_213,Extra Prague Place 213,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_214,Extra Prague Place 214,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_215,Extra Prague Place 215,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_216,Extra Prague Place 216,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_217,Extra Prague Place 217,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_218,Extra Prague Place 218,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_219,Extra Prague Place 219,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_220,Extra Prague Place 220,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_221,Extra Prague Place 221,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_222,Extra Prague Place 222,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_223,Extra Prague Place 223,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_224,Extra Prague Place 224,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_225,Extra Prague Place 225,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_226,Extra Prague Place 226,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_227,Extra Prague Place 227,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_228,Extra Prague Place 228,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_229,Extra Prague Place 229,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_230,Extra Prague Place 230,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_231,Extra Prague Place 231,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_232,Extra Prague Place 232,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_233,Extra Prague Place 233,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_234,Extra Prague Place 234,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_235,Extra Prague Place 235,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_236,Extra Prague Place 236,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_237,Extra Prague Place 237,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
poi_extra_238,Extra Prague Place 238,TODO,0.0,0.0,tbd,tbd,,60,,,Placeholder to be filled with a real point of interest.,,
